GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab_2,lab_2.calculator.exceptions,StackUnderflowException,4,0,0,0,1,0,1,0,1,0
lab_2,lab_2.calculator.exceptions,DivisionByZeroException,4,0,0,0,1,0,1,0,1,0
lab_2,lab_2.calculator.exceptions,InvalidArgumentException,4,0,0,0,1,0,1,0,1,0
lab_2,lab_2.calculator.factory,CommandFactory,87,0,6,0,19,0,6,0,3,0
lab_2,lab_2.calculator.app,Main,121,0,8,0,31,0,8,0,4,0
lab_2,lab_2.calculator.context,ExecutionContext,0,102,0,8,0,23,0,13,0,9
lab_2,lab_2.calculator.commands,SqrtCommand,29,0,4,0,8,0,4,0,2,0
lab_2,lab_2.calculator.commands,DefineCommand,54,0,2,0,15,0,4,0,3,0
lab_2,lab_2.calculator.commands,PopCommand,26,0,2,0,8,0,4,0,3,0
lab_2,lab_2.calculator.commands,AddCommand,41,0,2,0,11,0,4,0,3,0
lab_2,lab_2.calculator.commands,SubtractCommand,24,0,2,0,7,0,3,0,2,0
lab_2,lab_2.calculator.commands,PushCommand,64,0,4,0,19,0,5,0,3,0
lab_2,lab_2.calculator.commands,DivideCommand,53,0,4,0,14,0,5,0,3,0
lab_2,lab_2.calculator.commands,CommentCommand,4,0,0,0,2,0,2,0,2,0
lab_2,lab_2.calculator.commands,MultiplyCommand,24,0,2,0,7,0,3,0,2,0
lab_2,lab_2.calculator.commands,PrintCommand,29,0,2,0,9,0,4,0,3,0
lab_2,lab_2.calculator.logger,CalculatorLogger,9,0,0,0,3,0,3,0,3,0
